	pnns_groups_1	pnns_groups_2	nutrition_score_fr_100g	nutrition_grade_fr	carbohydrates_100g	fat_100g	energy_100g	sugars_100g	saturated_fat_100g	sodium_100g	fiber_100g	proteins_100g
243095	Milk and dairy products	Cheese	50.90909090909091	d	2.0	30.0	34.83783783783784	2.0	21.0	0.484251968503937	0.5	8.5
243102	Milk and dairy products	Cheese	56.36363636363636	d	1.0	32.1	43.08108108108108	1.0	21.6	0.708661417322835	0.5	22.9
243103	Milk and dairy products	Cheese	56.36363636363636	d	2.0	30.4	41.972972972972975	0.5	20.5	0.767716535433071	0.8	22.8
243104	Milk and dairy products	Cheese	50.90909090909091	d	1.1	32.0	45.37837837837838	0.5	21.0	0.275590551181102	0.5	28.0
243116	Fish meat eggs	Processed meat	56.36363636363636	d	0.7	12.0	25.18918918918919	0.3	5.0	2.36220472440945	0.5	28.0
243118	Fish meat eggs	Meat	56.36363636363636	d	0.9	9.0	25.486486486486488	0.9	5.0	1.5748031496063	0.0	35.0
243128	Fish meat eggs	Fish and seafood	34.54545454545455	c	0.0	16.1	25.162162162162165	0.0	3.8	0.417322834645669	0.0	19.7
243132	Sugary snacks	Biscuits and cakes	69.0909090909091	e	67.0	22.0	56.02702702702703	45.0	13.0	0.15748031496063	2.5	5.9
243133	Beverages	Fruit juices	32.72727272727273	c	9.1	0.0	4.405405405405405	9.1	0.0	0.0039370078740157	0.4	0.5
243140	Sugary snacks	Biscuits and cakes	63.63636363636363	e	59.3	25.2	56.64864864864865	25.1	8.2	0.286614173228346	2.1	8.2
243141	Beverages	Non sugared beverages	45.45454545454545	e	5.6	1.3	4.297297297297297	2.0	0.8	0.208661417322835	0.5	0.8
243147	Cereals and potatoes	Breakfast cereals	40.0	c	79.0	3.1	44.37837837837838	22.6	1.1	0.236220472440945	4.8	8.6
243149	Sugary snacks	Biscuits and cakes	65.45454545454545	e	63.0	21.0	52.64864864864865	42.0	14.0	0.118110236220472	3.2	4.4
243154	Fat and sauces	Dressings and sauces	52.72727272727273	d	8.0	36.8	43.2972972972973	3.9	4.6	0.905511811023622	3.5	4.5
243158	Sugary snacks	Sweets	60.0	d	68.0	7.7	40.513513513513516	63.0	4.9	0.0236220472440945	0.5	3.2
243162	Beverages	Sweetened beverages	45.45454545454545	e	7.3	0.5	3.3513513513513518	7.0	0.5	0.0039370078740157	0.5	0.5
243164	Beverages	Sweetened beverages	43.63636363636364	d	6.9	0.5	3.1621621621621623	6.8	0.5	0.0039370078740157	0.5	0.5
243165	Beverages	Sweetened beverages	50.90909090909091	e	9.2	0.5	4.216216216216217	9.2	0.5	0.0039370078740157	0.5	0.5
243167	Fish meat eggs	Eggs	25.454545454545457	a	0.7	9.9	15.864864864864865	0.7	2.5	0.125984251968504	0.5	12.3
243168	Fish meat eggs	Eggs	25.454545454545457	a	0.7	9.9	15.864864864864865	0.7	2.5	0.125984251968504	0.5	12.3
243170	Sugary snacks	Sweets	45.45454545454545	c	59.0	0.1	27.72972972972973	59.0	0.0	0.0118110236220472	1.5	0.4
243178	Composite foods	One dish meals	43.63636363636364	c	21.0	8.6	21.324324324324326	3.5	2.5	0.708661417322835	2.1	5.7
243182	Milk and dairy products	Cheese	47.27272727272727	d	0.5	29.5	41.91891891891892	0.5	21.0	0.251968503937008	0.5	27.0
243185	Salty snacks	Nuts	56.36363636363636	d	16.0	53.5	71.10810810810811	6.1	10.2	0.354330708661417	4.3	20.3
243186	Milk and dairy products	Dairy desserts	29.09090909090909	b	12.0	2.4	10.783783783783784	11.0	1.6	0.0393700787401575	0.3	6.1
243187	Milk and dairy products	Milk and yogurt	29.09090909090909	b	12.0	2.4	10.837837837837839	12.0	1.6	0.0393700787401575	0.6	6.1
243188	Milk and dairy products	Milk and yogurt	29.09090909090909	b	11.0	2.4	10.297297297297298	11.0	1.6	0.062992125984252	0.2	6.1
243194	Milk and dairy products	Milk and yogurt	27.272727272727273	b	12.0	1.7	8.891891891891893	11.0	0.3	0.0590551181102362	1.2	3.1
243195	Milk and dairy products	Milk and yogurt	38.18181818181818	c	14.0	6.8	14.297297297297298	13.0	4.4	0.0393700787401575	0.2	2.2
243207	Milk and dairy products	Milk and yogurt	32.72727272727273	c	15.0	4.0	12.486486486486488	13.0	3.0	0.0354330708661417	1.0	3.0
243213	Composite foods	Pizza pies and quiche	50.90909090909091	d	12.0	12.0	21.27027027027027	1.5	8.2	0.362204724409449	1.2	7.6
243214	Composite foods	Pizza pies and quiche	29.09090909090909	b	12.0	12.0	21.83783783783784	2.1	2.1	0.307086614173228	0.8	8.9
243217	Composite foods	One dish meals	23.636363636363637	a	15.0	16.0	28.0	1.7	1.8	0.342519645669291	7.2	7.7
243224	Composite foods	One dish meals	21.81818181818182	a	7.9	6.2	14.18918918918919	2.2	0.5	0.350393700787402	1.7	8.7
243237	Milk and dairy products	Cheese	49.09090909090909	d	0.5	29.0	41.40540540540541	0.5	19.0	0.275590551181102	0.0	27.0
243239	Beverages	Non sugared beverages	30.90909090909091	c	0.5	0.5	0.08108108108108109	0.5	0.1	0.0039370078740157	0.5	0.5
243243	Cereals and potatoes	Breakfast cereals	38.18181818181818	c	66.0	15.0	51.0	17.0	2.6	0.169291338582677	6.7	9.2
243245	Fish meat eggs	Processed meat	54.54545454545455	d	0.5	10.0	23.324324324324326	0.5	3.9	2.32283464566929	0.0	29.0
243252	Milk and dairy products	Milk and yogurt	29.09090909090909	b	14.0	1.6	9.702702702702704	13.0	0.3	0.031496062992126	1.3	3.0
243254	Cereals and potatoes	Breakfast cereals	47.27272727272727	d	66.0	17.0	52.432432432432435	24.0	4.8	0.192913385826772	6.4	8.1
243256	Cereals and potatoes	Cereals	20.0	a	72.0	1.8	40.91891891891892	2.4	0.3	0.015748031496063	2.4	12.0
243261	Sugary snacks	Biscuits and cakes	61.81818181818182	e	71.9	14.4	52.18918918918919	20.4	9.4	0.379133858267717	2.6	9.1
243262	Fat and sauces	Fats	49.09090909090909	d	0.0	91.0	91.0	0.0	16.0	0.0	0.0	0.0
243263	Cereals and potatoes	Cereals	16.363636363636367	a	69.0	1.5	39.054054054054056	1.0	0.2	0.0039370078740157	4.1	10.8
243264	Cereals and potatoes	Cereals	18.181818181818183	a	71.0	1.0	40.0	3.0	0.3	0.002	3.5	12.0
243265	Cereals and potatoes	Cereals	18.181818181818183	a	71.0	1.0	40.0	3.0	0.3	0.002	3.5	12.0
243268	Fish meat eggs	Eggs	25.454545454545457	a	1.0	10.0	16.972972972972975	1.0	2.5	0.125	0.0	13.0
243269	Milk and dairy products	Milk and yogurt	27.272727272727273	b	4.8	1.55	5.216216216216217	4.8	0.9	0.05	0.0	3.2
243272	Sugary snacks	Chocolate products	58.18181818181818	d	34.0	40.5	63.351351351351354	27.1	24.8	0.0039370078740157	12.2	10.0
243273	Fat and sauces	Fats	61.81818181818182	e	0.9	82.0	82.72972972972974	0.9	59.0	0.0196850393700787	0.0	0.7
243275	Milk and dairy products	Milk and yogurt	50.90909090909091	d	1.9	30.0	31.972972972972975	1.9	19.5	0.0196850393700787	0.0	2.4
243276	Milk and dairy products	Milk and yogurt	27.272727272727273	b	4.1	3.4	7.081081081081082	4.1	2.1	0.0393700787401575	0.0	3.9
243277	Fat and sauces	Fats	74.54545454545455	e	0.7	80.0	80.64864864864866	0.7	55.0	0.78740157480315	0.0	0.7
243278	Cereals and potatoes	Cereals	23.636363636363637	a	84.0	3.0	45.94594594594595	0.5	0.5	0.121	3.5	8.0
243279	Fruits and vegetables	Vegetables	9.090909090909093	a	1.8	0.4	3.2432432432432434	0.1	0.1	0.0098425196850393	3.0	3.0
243280	Cereals and potatoes	Bread	27.272727272727273	b	64.0	6.1	43.78378378378379	5.3	0.7	0.507874015748031	11.2	13.1
243281	Cereals and potatoes	Cereals	23.636363636363637	a	76.0	1.0	39.72972972972973	0.0	0.0	0.01	1.5	7.5
243283	Beverages	Fruit juices	45.45454545454545	e	18.0	0.0	8.378378378378379	17.3	0.0	0.01	0.0	0.0
243284	Beverages	Fruit juices	34.54545454545455	c	10.2	0.1	5.108108108108109	10.0	0.0	0.01	0.2	0.6
243285	Cereals and potatoes	Cereals	16.363636363636367	a	64.0	7.0	42.972972972972975	2.0	0.5	0.026	6.5	11.0
243286	Beverages	Fruit juices	29.09090909090909	b	8.0	0.5	3.945945945945946	8.0	0.1	0.0039370078740157	0.5	0.6
243287	Beverages	Fruit juices	32.72727272727273	c	9.7	0.5	4.45945945945946	9.7	0.1	0.0039370078740157	0.5	0.5
243288	Sugary snacks	Biscuits and cakes	61.81818181818182	e	60.0	24.0	55.67567567567568	34.0	14.0	0.15	4.5	7.0
243289	Composite foods	One dish meals	32.72727272727273	c	8.2	4.7	9.64864864864865	5.4	0.6	0.377952755905512	2.7	1.4
243290	Beverages	Non sugared beverages	30.90909090909091	c	0.2	0.0	0.08108108108108109	0.1	0.0	0.0	0.0	0.0
243292	Sugary snacks	Biscuits and cakes	54.54545454545455	d	58.0	24.0	56.75675675675676	20.0	9.0	0.2	4.5	11.0
243293	Milk and dairy products	Milk and yogurt	23.636363636363637	a	4.5	0.1	4.135135135135135	4.5	0.0	0.0393700787401575	0.0	4.3
243294	Milk and dairy products	Milk and yogurt	30.90909090909091	b	4.0	6.6	10.972972972972974	2.7	4.7	0.0492125984251968	0.5	5.4
