	RMSE	R2
nutrition_score_fr_100g	11.841713378528423	0.47147987256992774
carbohydrates_100g	16.164866768532036	0.6419553201735881
fat_100g	7.245933319539047	0.7630457013292515
energy_100g	15.58716507356638	0.4287213489512851
sugars_100g	12.909037390640027	0.28407971518306807
saturated_fat_100g	5.227663799125954	0.4364697011936506
sodium_100g	1.4375944359936788	0.007121103073020496
fiber_100g	3.4939719148790407	0.20084908655132083
proteins_100g	5.519667136260402	0.1226328336087672
