	pnns_groups_1	pnns_groups_2	nutrition_score_fr_100g	nutrition_grade_fr	carbohydrates_100g	fat_100g	energy_100g	sugars_100g	saturated_fat_100g	sodium_100g	fiber_100g	proteins_100g
193353	Fish meat eggs	Processed meat	34.54545454545455	c	1.0	3.0	13.567567567567568	1.0	1.1	0.689	0.5	22.0
193355	Fish meat eggs	Processed meat	32.72727272727273	c	0.8	3.0	13.027027027027028	0.8	1.1	0.689	1.0	21.0
193358	Fish meat eggs	Processed meat	32.72727272727273	c	0.8	3.0	13.027027027027028	0.8	1.1	0.551181102362205		21.0
193363	Fish meat eggs	Processed meat	32.72727272727273	c	1.0	2.7	12.567567567567568	1.0	0.6	0.688976377952756		22.9
193371			32.72727272727273	c			14.0	1.0	0.7	0.669291338582677	0.5	24.0
193386	Fish meat eggs	Processed meat	54.54545454545455	d	0.5	10.0	23.56756756756757	0.5	3.8	2.0	0.5	29.0
193388	Fish meat eggs	Processed meat	29.09090909090909	b			11.621621621621623	1.0	0.5	0.531496062992126	0.5	21.0
193389	Fish meat eggs	Processed meat	32.72727272727273	c	0.8	3.0	13.027027027027028	0.8	1.1	0.551		21.0
193399	Fish meat eggs	Processed meat	32.72727272727273	c	1.0	1.5	11.621621621621623	1.0	0.5	0.669	0.5	21.0
193400	Fish meat eggs	Processed meat	32.72727272727273	c	0.6	2.8	13.18918918918919	0.6	1.0	0.708661417322835	0.5	22.0
193401			34.54545454545455	c	0.8	3.0	13.027027027027028	0.8	1.1	0.7	0.5	21.0
193402	Fish meat eggs	Processed meat	34.54545454545455	c	0.8	3.5	13.513513513513514	0.8	1.3	0.697	0.5	21.0
193404	Fish meat eggs	Processed meat	32.72727272727273	c	0.8	3.5	13.45945945945946	0.8	1.3	0.6		21.0
193405			32.72727272727273	c			13.513513513513514	0.8	1.3	0.6	0.5	21.0
193420	Fish meat eggs	Processed meat	32.72727272727273	c	0.8	2.0	12.027027027027028	0.8	0.8	0.7		21.0
193424	Fish meat eggs	Processed meat	30.90909090909091	b	0.8	3.5	14.432432432432433	0.8	1.3	0.5		23.0
193431	Fish meat eggs	Processed meat	32.72727272727273	c	0.8	2.0	12.027027027027028	0.8	0.8	0.689		21.0
193461			32.72727272727273	c	1.0	2.0	12.108108108108109	1.0	0.6	0.688976377952756	0.5	21.0
193462			32.72727272727273	c	1.0	2.0	12.0	1.0	0.6	0.688976377952756	0.5	21.0
193469	Fish meat eggs	Processed meat	34.54545454545455	c	0.8	3.0	13.027027027027028	0.8	1.1	0.689	0.5	21.0
193485			32.72727272727273	c			11.54054054054054	1.0	0.4	0.708661417322835	0.0	21.0
193569			32.72727272727273	c			13.513513513513514	0.8	1.3	0.551181102362205	0.5	21.0
193572	Fish meat eggs	Processed meat	34.54545454545455	c	1.0	3.0	13.567567567567568	1.0	1.1	0.7	0.5	22.0
193574	Fish meat eggs	Processed meat	34.54545454545455	c	0.8	3.0	12.891891891891893	0.8	1.1	0.7		21.0
193576	Fish meat eggs	Processed meat	34.54545454545455	c	0.6	5.4	15.270270270270272	0.6	2.0	0.708661417322835		21.0
193577	Fish meat eggs	Processed meat	34.54545454545455	c			13.513513513513514	0.8	1.3	0.696850393700787	0.5	21.0
193580			32.72727272727273	c			13.513513513513514	0.8	1.3	0.7	1.0	21.0
193594	Fish meat eggs	Meat	30.90909090909091	b	0.9	1.9	11.864864864864865	0.9	0.5	0.551181102362205	0.5	21.0
193630	Fish meat eggs	Processed meat	34.54545454545455	c	0.8	3.0	12.891891891891893	0.8	1.1	0.748	1.0	21.0
193633	Fish meat eggs	Processed meat	32.72727272727273	c	1.0	2.0	12.567567567567568	1.0	0.6	0.688976377952756	0.5	22.0
193634			32.72727272727273	c	1.0	1.5	11.54054054054054	1.0	0.5	0.7		21.0
193635	Fish meat eggs	Processed meat	30.90909090909091	b	2.5	5.0	14.432432432432433	1.0	1.9	0.590551181102362	1.0	18.0
193644	Fish meat eggs	Meat	34.54545454545455	c	0.9	3.2	14.027027027027028	0.9	1.2	0.708661417322835	0.0	23.0
193646			34.54545454545455	c	0.9	3.2	14.027027027027028	0.9	1.2	0.708661417322835		23.0
193650	Fish meat eggs	Meat	36.36363636363636	c	0.9	3.2	14.027027027027028	0.9	1.2	0.720472440944882	0.0	23.0
193655	Fish meat eggs	Processed meat				4.0						
193671					1.8	5.5	14.135135135135135	1.8	2.0			
193676	Composite foods	One dish meals	21.81818181818182	a	5.2	6.0	14.72972972972973	3.0	0.5	0.590551181102362		12.0
193678	Composite foods	One dish meals	23.636363636363637	a	4.5	7.0	18.10810810810811	2.0	0.5	0.590551181102362		18.0
193679	Composite foods	One dish meals	25.454545454545457	a	15.0	9.0	22.621621621621625	5.5	1.1	0.511811023622047		12.0
193682	Fish meat eggs	Processed meat	47.27272727272727	d	2.5	8.0	17.432432432432435	1.0	4.2	0.590551181102362	0.5	18.0
193684	Fish meat eggs	Processed meat	30.90909090909091	b	0.7	2.9	12.783783783783784	0.7	1.0	0.551181102362205	0.0	21.0
193691	Fish meat eggs	Processed meat	32.72727272727273	c	0.7	2.4	12.54054054054054	0.7	0.8	0.708661417322835	0.0	22.0
193709	Composite foods	One dish meals	58.18181818181818	d			29.864864864864867	0.6	10.0	0.511811023622047	0.0	8.4
193761	Sugary snacks	Sweets			74.0	1.0	35.64864864864865	48.0		0.0	3.0	1.0
193762	Fruits and vegetables	Vegetables	12.727272727272728	a	8.3	0.6	6.675675675675676	5.8	0.1	0.259842519685039	3.9	3.1
193764	Sugary snacks	Sweets	54.54545454545455	d			55.86486486486487	50.0	2.5	0.0196850393700787	2.5	9.0
193767	Sugary snacks	Sweets	36.36363636363636	c	62.0	14.0	45.21621621621622	27.0	1.5	0.0118110236220472	2.0	5.0
193778	Sugary snacks	Sweets	49.09090909090909	d	63.0	17.0	50.37837837837838	47.0	1.7	0.0118110236220472	3.5	8.0
193782			47.27272727272727	d			50.48648648648649	45.0	2.1	0.0393700787401575	6.8	8.0
193834	Sugary snacks	Sweets	52.72727272727273	d		0.5	37.48648648648649	64.0	0.1	0.00394	0.0	2.6
193836	Sugary snacks	Sweets	58.18181818181818	d	90.0	5.1	46.67567567567568	70.0	2.5	0.0197		0.7
193855	Sugary snacks	Sweets	52.72727272727273	d	87.0	0.5	40.810810810810814	74.0	0.1	0.0039370078740157	0.0	2.8
193859	Sugary snacks	Sweets	52.72727272727273	d	87.0	0.5	40.810810810810814	74.0	0.1	0.0039370078740157	0.0	2.8
193888	Sugary snacks	Sweets	52.72727272727273	d	77.5	0.9	39.7027027027027	54.0	0.8	0.0039370078740157		4.0
193906	Sugary snacks	Sweets	52.72727272727273	d	93.0	0.5	43.02702702702703	59.0	0.1	0.0196850393700787	0.0	0.5
193968	Sugary snacks	Sweets	56.36363636363636	d	85.0	1.1	40.891891891891895	60.0	1.1	0.157	0.0	0.5
193974	Sugary snacks	Sweets	63.63636363636363	e	78.0	1.6	39.67567567567568	50.0	0.8	0.55		4.4
194009			56.36363636363636	d			41.86486486486487	53.0	0.1	0.232283464566929	0.0	0.5
194135	Beverages	Fruit nectars			13.6	0.0	6.324324324324325					0.4
194136	Beverages	Fruit juices	34.54545454545455	c	11.3	0.0	5.513513513513514	9.2	0.0	0.0	0.0	0.8
194138	Beverages	Fruit juices	34.54545454545455	c	11.4	0.0	5.27027027027027	10.0	0.0	0.0	0.0	0.0
194151	Sugary snacks	Sweets	50.90909090909091	d	78.9	8.2	46.48648648648649	68.6	0.7	0.0078740157480315		4.5
194160	Sugary snacks	Biscuits and cakes	69.0909090909091	e		25.7	58.75675675675676	29.6	15.5	0.36		6.0
194163	Sugary snacks	Biscuits and cakes	67.27272727272728	e	59.33	29.2	59.37837837837838	21.3	17.41	0.43		6.4
194175	Salty snacks	Appetizers	85.45454545454545	e	54.3	18.1	47.83783783783784	51.7	12.2	1.162		11.8
194176	Sugary snacks	Biscuits and cakes	67.27272727272728	e	59.33	29.2	59.432432432432435	21.3	17.41	0.43		6.4
194197			30.90909090909091	b			13.108108108108109	1.1	1.8	0.362204724409449	0.0	7.5
194259	Sugary snacks	Biscuits and cakes	52.72727272727273	d	75.7	1.3	37.972972972972975	41.9	0.18	0.248031496062992		4.1
194270			34.54545454545455	c			44.62162162162162	21.0	0.2	0.196850393700787	2.7	5.5
194332	Cereals and potatoes	Cereals	27.272727272727273	b	25.0	4.5	32.91891891891892	9.2	0.7	0.5	46.6	14.4
194335	Cereals and potatoes	Breakfast cereals	20.0	a	48.0	8.3	45.24324324324325	13.3	0.7	0.0590551181102362	5.4	30.0
194337			45.45454545454545	c			54.054054054054056	18.8	7.0	0.0078740157480315	7.6	8.7
194338			38.18181818181818	c	55.8	21.0	53.24324324324325	18.9	2.1	0.0078740157480315		10.4
194344			38.18181818181818	c			49.64864864864865	18.4	2.9	0.0118110236220472	3.9	5.8
194345	Cereals and potatoes	Breakfast cereals	40.0	c	63.3	15.3	49.70270270270271	22.4	3.1	0.015748031496063	6.8	8.4
194347	Cereals and potatoes	Breakfast cereals	38.18181818181818	c	62.8	10.2	45.54054054054054	17.0	3.5	0.078740157480315	7.0	10.8
194349	Cereals and potatoes	Breakfast cereals	43.63636363636364	c	64.6	13.9	49.10810810810811	28.6	2.9	0.165354330708661		9.3
194350			29.09090909090909	b			45.24324324324325	21.0	1.5	0.015748031496063	3.5	6.5
